job_id,experience_level,remote_ratio,salary_usd,work_mode
AI00218,EN,0,59644,On Site
AI00305,EN,0,63711,On Site
AI00306,EN,0,64384,On Site
AI00328,EN,100,81908,Remote
AI00390,EN,0,63685,On Site
AI00632,EN,50,61587,Hybrid
AI01067,EN,50,64276,Hybrid
AI01302,EN,50,62450,Hybrid
AI01459,EN,50,70893,Hybrid
AI01582,EN,100,59222,Remote
AI01645,EN,100,51215,Remote
AI01736,EN,50,62844,Hybrid
AI01770,EN,50,59459,Hybrid
AI01857,EN,100,63724,Remote
AI01873,EN,50,69797,Hybrid
AI01907,EN,100,59376,Remote
AI02170,EN,0,84132,On Site
AI02183,EN,50,61490,Hybrid
AI02248,EN,100,75857,Remote
AI02616,EN,100,61148,Remote
AI03099,EN,50,74511,Hybrid
AI03377,EN,100,80618,Remote
AI03406,EN,100,62047,Remote
AI03412,EN,100,61796,Remote
AI03669,EN,100,75483,Remote
AI03696,EN,100,87328,Remote
AI03724,EN,100,77756,Remote
AI03787,EN,0,80433,On Site
AI04161,EN,0,49858,On Site
AI04284,EN,100,65824,Remote
AI04344,EN,100,64449,Remote
AI04769,EN,100,61307,Remote
AI05209,EN,100,58260,Remote
AI05457,EN,0,52089,On Site
AI05715,EN,100,66015,Remote
AI05843,EN,100,57312,Remote
AI05910,EN,0,76333,On Site
AI06046,EN,50,69408,Hybrid
AI06106,EN,0,65352,On Site
AI06172,EN,100,58138,Remote
AI06348,EN,100,69492,Remote
AI06351,EN,50,65245,Hybrid
AI06555,EN,100,55067,Remote
AI06886,EN,50,85261,Hybrid
AI06922,EN,100,47244,Remote
AI06955,EN,100,71615,Remote
AI07137,EN,0,69973,On Site
AI07397,EN,0,80739,On Site
AI07448,EN,100,55162,Remote
AI07686,EN,50,59751,Hybrid
AI07702,EN,50,59534,Hybrid
AI07881,EN,50,74833,Hybrid
AI07950,EN,0,61777,On Site
AI08070,EN,100,86738,Remote
AI08184,EN,0,49748,On Site
AI08305,EN,0,47052,On Site
AI08507,EN,100,50658,Remote
AI08600,EN,50,50098,Hybrid
AI08655,EN,0,82719,On Site
AI08912,EN,100,75646,Remote
AI09018,EN,100,62850,Remote
AI09513,EN,0,74053,On Site
AI09758,EN,50,66442,Hybrid
AI10340,EN,0,52101,On Site
AI10730,EN,0,61740,On Site
AI10752,EN,0,59896,On Site
AI10798,EN,0,61454,On Site
AI11314,EN,50,54356,Hybrid
AI11728,EN,50,72033,Hybrid
AI11803,EN,100,71085,Remote
AI11859,EN,0,77417,On Site
AI11978,EN,50,64158,Hybrid
AI11991,EN,100,77633,Remote
AI12038,EN,100,67319,Remote
AI12069,EN,0,56616,On Site
AI12159,EN,50,78172,Hybrid
AI12504,EN,50,53833,Hybrid
AI12595,EN,100,64209,Remote
AI12777,EN,50,86893,Hybrid
